Actor,Total Gross,Number of Movies,Average per Movie,#1 Movie
Harrison Ford,4871.7,41,118.8,Star Wars: The Force Awakens
Samuel L. Jackson,4772.8,69,69.2,The Avengers
Morgan Freeman,4468.3,61,73.3,The Dark Knight
Tom Hanks,4340.8,44,98.7,Toy Story 3
"Robert Downey, Jr.",3947.3,53,74.5,The Avengers
Eddie Murphy,3810.4,38,100.3,Shrek 2
Tom Cruise,3587.2,36,99.6,War of the Worlds
Johnny Depp,3368.6,45,74.9,Dead Man's Chest
Michael Caine,3351.5,58,57.8,The Dark Knight
Scarlett Johansson,3341.2,37,90.3,The Avengers
Gary Oldman,3294,38,86.7,The Dark Knight
Robin Williams,3279.3,49,66.9,Night at the Museum
Bruce Willis,3189.4,60,53.2,Sixth Sense
Stellan Skarsgard,3175,43,73.8,The Avengers
Anthony Daniels,3162.9,7,451.8,Star Wars: The Force Awakens
Ian McKellen,3150.4,31,101.6,Return of the King
Will Smith,3149.1,24,131.2,Independence Day
Stanley Tucci,3123.9,50,62.5,Catching Fire
Matt Damon,3107.3,39,79.7,The Martian
Robert DeNiro,3081.3,79,39,Meet the Fockers
Cameron Diaz,3031.7,34,89.2,Shrek 2
Liam Neeson,2942.7,63,46.7,The Phantom Menace
Andy Serkis,2890.6,23,125.7,Star Wars: The Force Awakens
Don Cheadle,2885.4,34,84.9,Avengers: Age of Ultron
Ben Stiller,2827,37,76.4,Meet the Fockers
Helena Bonham Carter,2822,36,78.4,Harry Potter / Deathly Hallows (P2)
Orlando Bloom,2815.8,17,165.6,Dead Man's Chest
Woody Harrelson,2815.8,50,56.3,Catching Fire
Cate Blanchett,2802.6,39,71.9,Return of the King
Julia Roberts,2735.3,42,65.1,Ocean's Eleven
Elizabeth Banks,2726.3,35,77.9,Catching Fire
Ralph Fiennes,2715.3,36,75.4,Harry Potter / Deathly Hallows (P2)
Emma Watson,2681.9,17,157.8,Harry Potter / Deathly Hallows (P2)
Tommy Lee Jones,2681.3,46,58.3,Men in Black
Brad Pitt,2680.9,40,67,World War Z
Adam Sandler,2661,32,83.2,Hotel Transylvania 2
Daniel Radcliffe,2634.4,17,155,Harry Potter / Deathly Hallows (P2)
Jonah Hill,2605.1,29,89.8,The LEGO Movie
Owen Wilson,2602.3,39,66.7,Night at the Museum
Idris Elba,2580.6,26,99.3,Avengers: Age of Ultron
Bradley Cooper,2557.7,25,102.3,American Sniper
Mark Wahlberg,2549.8,36,70.8,Transformers 4
Jim Carrey,2545.2,27,94.3,The Grinch
Dustin Hoffman,2522.1,43,58.7,Meet the Fockers
Leonardo DiCaprio,2518.3,25,100.7,Titanic
Jeremy Renner,2500.3,21,119.1,The Avengers
Philip Seymour Hoffman,2463.7,40,61.6,Catching Fire
Sandra Bullock,2462.6,35,70.4,Minions
Chris Evans,2457.8,23,106.9,The Avengers
Anne Hathaway,2416.5,25,96.7,The Dark Knight Rises
