Year,Total Gross,Change,Tickets,Change,Number of Movies,Total,Avg.,Avg.,#1 Movie
2015,11129.4,0.074,1320.2,0.041,705,-,8.43,-,Star Wars: The Force Awakens
2014,10361.2,-0.052,1268.2,-0.056,706,-,8.17,-,American Sniper
2013,10924.6,0.008,1343.7,-0.013,688,-,8.13,-,Catching Fire
2012,10837.6,0.065,1361.5,0.061,669,-,7.96,-,The Avengers
2011,10174.2,-0.037,1283,-0.042,602,-,7.93,-,Harry Potter / Deathly Hallows (P2)
2010,10565.6,-0.003,1339.1,-0.052,537,-,7.89,-,Toy Story 3
2009,10595.5,0.1,1412.7,0.053,521,-,7.5,-,Avatar
2008,9630.7,-0.003,1341.3,-0.045,607,-,7.18,-,The Dark Knight
2007,9663.8,0.049,1404.6,-0.001,631,-,6.88,-,Spider-Man 3
2006,9209.5,0.042,1406,0.02,608,-,6.55,-,Dead Man's Chest
2005,8840.5,-0.058,1379.2,-0.087,547,-,6.41,-,Revenge of the Sith
2004,9380.5,0.015,1510.5,-0.014,551,-,6.21,-,Shrek 2
2003,9239.7,0.009,1532.3,-0.028,506,-,6.03,63.8,Return of the King
2002,9155.1,0.088,1575.7,0.06,480,35592,5.81,58.8,Spider-Man
2001,8412.5,0.098,1487.3,0.047,482,36764,5.66,47.7,Harry Potter / Sorcerer's Stone
2000,7661,0.029,1420.8,-0.03,478,37396,5.39,54.8,The Grinch
1999,7448,0.072,1465.2,-0.011,461,37185,5.08,51.5,The Phantom Menace
1998,6949,0.092,1480.7,0.067,509,34186,4.69,52.7,Saving Private Ryan
1997,6365.9,0.077,1387.7,0.037,510,31640,4.59,53.4,Titanic
1996,5911.5,0.076,1338.6,0.06,471,29690,4.42,39.8,Independence Day
1995,5493.5,0.018,1262.6,-0.023,411,27805,4.35,36.4,Toy Story
1994,5396.2,0.047,1291.7,0.038,453,26586,4.18,34.3,Forrest Gump
1993,5154.2,0.058,1244,0.06,462,25737,4.14,29.9,Jurassic Park
1992,4871,0.014,1173.2,0.029,480,25105,4.15,28.9,Aladdin
1991,4803.2,-0.044,1140.6,-0.04,458,24570,4.21,26.1,Terminator 2
1990,5021.8,-0.002,1188.6,-0.059,410,23689,4.23,26.8,Home Alone
1989,5033.4,0.129,1262.8,0.164,502,23132,3.97,23.5,Batman
1988,4458.4,0.048,1084.8,-0.003,510,23234,4.11,18.1,Rain Man
1987,4252.9,0.126,1088.5,0.07,509,23555,3.91,20.1,Three Men and a Baby
1986,3778,0.008,1017.2,-0.037,451,22765,3.71,17.5,Top Gun
1985,3749.2,-0.07,1056.1,-0.119,470,21147,3.55,16.8,Back to the Future
1984,4031,0.07,1199,0.002,536,20200,3.36,14.4,Beverly Hills Cop
1983,3766,0.091,1197,0.019,495,18884,3.15,11.9,Return of the Jedi
1982,3453,0.164,1175,0.101,428,18020,2.94,11.8,E.T.
1981,2966,0.079,1067,0.044,173,18040,2.78,11.3,Raiders / Lost Ark
1980,2749,-,1022,-,161,17590,2.69,9.4,The Empire Strikes Back
